node,birank_HITS
0,1.A.1.a,0.41000552778536986
1,1.A.2,0.2171385105192364
2,1.A.4,0.0856204055141658
3,1.A.5,0.0046249553343188764
4,1.A.3.a,0.009676989657736775
5,1.A.3.b_noRES,0.09212586656738775
6,1.A.3.d,0.0056029977154614455
7,1.A.3.e,0.002246320827886727
8,2.A.3,0.00013985922788997096
9,2.A.4,0.002711911041798357
10,2.D,0.0032023716372550923
11,3.C.1,0.005654662501228051
12,1.A.1.bc,0.03027133933727008
13,1.B.1,0.021076897867132433
14,1.B.2,0.005473764690402968
15,2.A.1,0.053040037038054384
16,2.B,0.015537693052638316
17,3.C.3,0.0013865120655072772
18,2.A.2,0.014987415922391115
19,1.A.3.c,0.0017530749171181359
20,2.C,0.01499952497143927
21,3.C.2,0.00035290196056477917
22,4.C,0.0002878997270261165
23,5.B,0.0020825601207200353
