node,birank
0,1.A.1.a,0.04833050136268244
1,1.A.2,0.037752738159533644
2,1.A.4,0.034856660011155165
3,1.A.5,0.01132684531542911
4,1.A.3.a,0.019681411089151474
5,1.A.3.b_noRES,0.03465292330765254
6,1.A.3.d,0.02084882686802377
7,1.A.3.e,0.010958079507115935
8,2.A.3,0.007309812484546035
9,2.A.4,0.010160588985709179
10,2.D,0.011349104627354
11,3.C.1,0.018444151587668
12,1.A.1.bc,0.021008541654189278
13,1.B.1,0.0138519073107639
14,1.B.2,0.015103773766260545
15,2.A.1,0.019851883283667444
16,2.B,0.015732046993536752
17,3.C.3,0.00941442501006047
18,2.A.2,0.012343535663001613
19,1.A.3.c,0.00981751129127701
20,2.C,0.012914442154040019
21,3.C.2,0.009141058685915665
22,4.C,0.007992383828160528
23,5.B,0.0085327805777272
