node,birank_cohits
0,1.A.1.a,0.269388949876951
1,1.A.2,0.15313725855017293
2,1.A.4,0.1368305793626609
3,1.A.5,0.010615000111957993
4,1.A.3.a,0.02493636500106805
5,1.A.3.b_noRES,0.13339933784008312
6,1.A.3.d,0.024173884406477476
7,1.A.3.e,0.0098091643060011
8,2.A.3,0.006415639509289656
9,2.A.4,0.008431916625576793
10,2.D,0.010274534087228504
11,3.C.1,0.028583911796593732
12,1.A.1.bc,0.03693246087432485
13,1.B.1,0.014514753538327091
14,1.B.2,0.017553136724990356
15,2.A.1,0.03396080741487364
16,2.B,0.019076411898556515
17,3.C.3,0.007687020933275621
18,2.A.2,0.011575483996621776
19,1.A.3.c,0.008091667489691302
20,2.C,0.012879109180545183
21,3.C.2,0.007442731929707612
22,4.C,0.007299302464814839
23,5.B,0.006990572080209515
