,Country,Name,nx_bipartite_deg_centr
194,AUS,Australia,1.0
4501,USA,United States,1.0
809,CHN,China,1.0
1969,HUN,Hungary,0.9583333333333331
3644,ROU,Romania,0.9583333333333331
4438,UKR,Ukraine,0.9583333333333331
1758,GRC,Greece,0.9583333333333331
3465,POL,Poland,0.9583333333333331
2031,IND,India,0.9583333333333331
1522,FRA,France,0.9583333333333331
2181,ITA,Italy,0.9583333333333331
1102,CZE,Czech Republic,0.9583333333333331
1132,DEU,Germany,0.9583333333333331
3677,RUS,Russian Federation,0.9583333333333331
3228,NOR,Norway,0.9166666666666666
