,RUS,CHN,IND,USA
EST,0.5857841645083057,-,-,-
MLT,0.5764965316341029,-,-,-
GIB,0.5716014906889917,-,-,-
POL,0.5694049139805933,-,-,-
HKG,0.5677925989537653,-,-,-
BTN,-,0.6815408945203167,0.6154431286931916,-
BDI,-,0.6813304334936221,0.6194197288753273,-
RWA,-,0.6811562761601053,0.6186523829570504,-
ETH,-,0.6810388754449318,0.6162015669180156,-
UGA,-,0.6783369425005762,0.617323601786776,-
LUX,-,-,-,0.5737391944576069
MUS,-,-,-,0.5736458446955253
SWZ,-,-,-,0.5691136841391968
AZE,-,-,-,0.5689037539752929
FJI,-,-,-,0.5685572512302955
