,weight_deg
POL,351794.17482839996
KGZ,10787.352096030003
CHL,135903.96797276498
DOM,35363.30983773301
MOZ,36690.169787874
TTO,32630.066312384
DZA,178079.886421466
COL,129443.315981488
MAR,78052.41780250799
NZL,43728.594914165005
GRC,68275.35668925002
CZE,122516.10913841105
PRK,63232.973823791
ROU,101935.10546076002
BIH,28082.983964832005
IND,3645443.56588144
PHL,236539.098178073
PRT,63956.57170909998
ARE,199501.782294644
IDN,900561.7136114499
GEO,12771.201870524998
ISR,64853.032206721015
URY,22687.252880124
TUR,446394.70509886206
GBR,420615.21313528
ARM,6730.649657833998
CUB,47314.75113049899
AUS,471567.2103498401
EGY,283068.45472147793
MEX,554763.416028536
DNK,47119.71725996499
LBN,28485.184574115996
SVK,43384.45498658401
AZE,37411.685023203005
CIV,35788.183443668
BRA,1258195.5974366402
AFG,12215.717086045199
SLV,12197.630105641
NGA,601946.39251665
UKR,224820.32998295
ECU,48940.139564029
BGR,53065.142029489
LKA,46181.044644423004
KOR,667677.196075174
HUN,64458.010501097
VNM,443598.625772473
OMN,86480.81352642602
TUN,33987.603126783
BEL,113578.89841822004
MMR,112749.40247443401
ETH,200483.07671663805
KWT,96707.91672823699
IRQ,184164.36412981607
JOR,25550.679169400006
EST,20080.262033092
FIN,102637.55542229998
USA,5647252.305011299
MDA,12323.016883534003
PER,78929.28119826502
NIC,13285.299677101
PRY,27688.008013467002
ZWE,45146.571907174
THA,528776.7010826411
NLD,177204.80568298203
AUT,96260.74927048701
CHE,46352.03012573099
LBY,60416.11744230301
IRN,672033.5760164538
BLR,69994.480261309
SWE,109643.108830923
CMR,37773.892383177
LVA,15466.527796880002
QAT,105385.22293494003
TJK,9935.163568236
ITA,391244.21375829
RUS,1917831.1182467
ZMB,35725.327085821
GTM,59397.360914226985
DEU,810809.5359979599
KAZ,227203.04631254598
PAK,421235.94915708806
LTU,21153.388404402995
SVN,18323.008265518005
MKD,9540.603598206011
SGP,58403.99652784201
FRA,400103.9443675799
ARG,272683.39540435
TWN,282206.1375393121
BOL,32756.355169091
NOR,50340.707522697994
ALB,6153.321434786
IRL,39425.650589427
HRV,24694.940707996
MNG,23968.382477506002
SYR,28827.090678717002
TKM,75965.71842650298
BGD,162375.23950596206
BHR,36748.103945899
JPN,1196838.75245043
ZAF,520574.3104467609
CAN,689321.0436147
UZB,124153.45870067998
CRI,15071.269862606001
SAU,577910.2750800439
CHN,12389736.1408041
MYS,276691.017719172
ESP,301818.349496763
SCG,66350.05833442
VEN,125210.46248559302
