Country,nx_bipartite_weight_deg
CYM,82.88136505629998
BEN,4318.786818627001
BIH,16459.223217516
ERI,2106.258533311
SDN,21759.57426982099
UGA,20971.194414542893
GIN,9982.374415294202
MLI,3623.6426211522994
GRC,32662.038944692
VGB,32.4666823218
SHN,2.762886881
BDI,4385.562636499151
HUN,69914.49317942999
JOR,2806.719775566
PAN,4905.3447991289995
SPM,121.444711809
BTN,1170.1355623501547
SOM,5032.349725084001
SCG,36050.729465075
CUB,105804.55860880102
GRL,2.380853438
KHM,15998.831090505724
COD,27326.490814047997
FRA,512664.07582549
NPL,18912.123268858
CRI,5094.356829315999
GLP,1392.492294376
NER,3552.8898583170003
BMU,427.056130639
AZE,32576.554581938002
GRD,47.029210485700006
COM,112.59956856263
ARM,11059.939079149999
REU,2506.8154184518007
UKR,515231.82613779284
TON,22.6797021385497
MWI,6917.0984554233
ZMB,11599.319293505
CHN,1606949.8618011996
TUN,5725.783312183
CZE,191290.94760876702
VEN,65974.39610869002
MOZ,24200.03598979099
KNA,351.67932341159997
DOM,15259.058129664
PYF,147.730795342622
ESP,148542.82111474598
GHA,10316.038900081001
KWT,38382.164654661006
VCT,153.99841999970002
FRO,0.800204914
PRK,78866.77269505913
GIB,69.424257014
PRT,24161.726143042
TKM,17687.672059435998
AGO,20393.27406728
LSO,2721.84936008078
SYR,6969.1931896000015
IRQ,24154.889334803996
STP,74.76751292876
JPN,873940.605969882
BHS,3778.6030984069994
KAZ,164413.41138021997
GNB,1069.05234207427
NOR,38449.707470459
LVA,18933.690822239005
COG,2926.8651471219996
MKD,9604.246664609002
CIV,7713.156989248001
GAB,2861.478913181
MYS,23007.520862178
KGZ,15201.25031673
BRN,2126.2456534919997
EGY,36535.68800432801
ROU,137771.819768002
MLT,713.285068582
KOR,63122.660293504014
PLW,1993.8769189719999
ARE,19437.564128776998
LBY,39730.59540854899
BRB,1736.4475652529998
ISR,15067.99147774
ANT,14518.577946497
URY,7995.320825062001
GEO,29650.221106288
ZWE,29153.165072399996
ZAF,242569.02566231397
TJK,7660.639938205999
ITA,322984.30952355
ALB,6495.392462691
MRT,1280.0684821619
RWA,4757.05218583866
VUT,94.17095654419899
ESH,86.844045995
PER,35947.140828001
LTU,22635.880961270996
IRL,21207.54307532
CAF,2221.03983687078
VNM,73122.082487343
MDV,15.186517662774799
AUT,58662.45728057299
CAN,412974.7167371398
SWZ,4076.0115363215996
TGO,2227.014040769
MDA,17617.890654514995
MMR,41894.615101250994
PRY,6781.241515859001
EST,23188.608896961
HRV,26223.024585157003
SEN,4073.1382218880003
MUS,5997.2150795259995
HND,7784.494465082001
BLR,70208.99393179899
AIA,2.1682917049999997
SYC,135.75232823517
NLD,135646.61736140505
SGP,6651.434235746
SLV,9201.914953322
CYP,2260.312803187
GMB,426.83020538166005
HKG,9631.227370054003
IRN,81607.28411178003
WSM,110.571074124424
GUY,5579.550368967
SWE,119125.17709295699
AIR,169300.9966
BGD,46309.647061952
POL,319184.5981478999
SLB,99.964673660424
MNG,6047.5257776219805
DJI,920.3288158538
BRA,345945.21251457
KEN,20705.283358705998
AFG,3343.0547089580004
BGR,72880.670244204
PRI,2155.9332432740002
TZA,17868.362119940997
SVN,10141.418831371999
PHL,74820.11843821201
LBN,5819.732042127001
DZA,19019.443784969
USA,4954520.184999699
CMR,11614.401432299
GBR,688007.79771495
ATG,322.244337996
COL,67142.93094738701
NAM,1561.6069515468
NCL,1053.75045605948
GUF,448.26883086600003
SUR,2402.2359951890003
BEL,141464.77470521198
PAK,89550.79671088302
RUS,1624575.2289252
TCA,17.00379523351
TLS,133.795623611
NZL,15645.155168661
MEX,158301.735426905
LBR,3033.7207906261
JAM,11662.982460285
LAO,5042.526834801241
OMN,7331.177555388001
MAR,11295.282547649
BOL,6807.0070399940005
AUS,210117.768478145
GTM,20105.036238806995
SLE,6454.027720598901
COK,20.278298790549698
IDN,203045.29239741398
CHE,42795.719204647
PNG,3043.8161654800006
THA,59045.372203423
BHR,2962.38564837
LCA,167.7436699342
UZB,50665.28549818001
DMA,132.3157766128
ETH,43392.140921766986
DNK,64410.11828025402
ARG,117798.02315518004
KIR,22.308657812549697
LKA,15022.616488276997
IND,761092.3737620001
LUX,18500.273918199997
MTQ,853.8597103559999
SAU,47222.235553
SVK,48459.325876207
QAT,14732.839678031
FLK,20.54137700172
SEA,354049.0186
MAC,331.27441964479
GNQ,96.87119788400001
BLZ,1391.090848649
MDG,6383.0088697352
TUR,82787.64728950502
ECU,14586.758731458
YEM,2279.0196752650004
DEU,1096969.6770891396
FIN,69822.539600182
NGA,161347.91268667
BWA,947.246888374
TWN,38027.24183937901
ISL,1949.222413532
FJI,4696.098641135012
CPV,277.1737091644
NIC,6401.770586252001
ABW,95.06542353110002
TCD,4149.7082730316
TTO,6901.907313629999
CHL,34724.19957295701
HTI,8172.680962238999
BFA,8158.1069861483
