industry,nx_bipartite_weight_deg
2.A.3,8955.527806697002
1.A.3.b_noRES,6336625.711275381
1.A.4,6214364.033380015
1.A.2,8203426.077472151
1.A.1.bc,1736853.08825802
1.A.3.d,866354.9937675929
1.A.3.a,1033981.1540034354
1.A.3.c,103876.85626443899
3.C.2,62026.54281228501
2.C,376795.992768063
5.B,47489.2
1.A.3.e,172624.56362872003
1.B.2,594962.9399262047
2.A.1,1538812.0803746604
4.C,24235.32769392101
2.B,726202.9087573567
2.A.2,326221.5
3.C.1,1090838.6311588718
3.C.3,81680.79943390898
2.D,204802.67149695102
1.B.1,505109.61888345005
1.A.5,192051.8818742612
2.A.4,123886.01054003122
1.A.1.a,14816090.00034903
